protected,verified,location,followers_count,following_count,tweet_count,listed_count,has_profile_image,isBot,un_no_of_char,un_special_char,name_no_of_char,name_special_char,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,has_url,account_age_in_days,average_tweets_per_day,followers_following_count
0,0,0,340,624,1054,7,1,0,5,0,2,0,0,0,0,1,0,4931,0.2137497465017238,212160
0,0,1,706,1177,20293,79,1,0,8,1,14,1,0,0,0,1,0,5645,3.594862710363153,830962
0,0,1,6710,875,219729,101,1,0,10,1,10,0,0,0,1,1,1,4783,45.939577670917835,5871250
0,0,0,88,741,115,1,1,1,13,0,13,0,0,0,0,1,1,3143,0.03658924594336621,65208
0,0,1,339,439,2164,10,1,0,8,0,12,0,0,0,0,1,0,4779,0.4528143963172212,148821
0,0,1,158,375,20600,7,1,0,11,0,13,0,0,0,0,1,0,4832,4.263245033112582,59250
0,0,1,41,251,55,0,1,0,10,0,13,0,0,0,0,1,0,4778,0.011511092507325241,10291
0,0,1,214,287,21821,2,1,0,10,0,6,0,0,0,0,1,0,5030,4.338170974155069,61418
0,0,1,198,295,10567,1,1,0,12,0,8,0,0,1,0,1,0,4284,2.466619981325864,58410
0,0,0,265,699,22201,12,1,0,10,0,13,0,0,0,0,1,0,4893,4.5372981810750055,185235
0,0,0,90,777,74,0,1,1,13,0,13,0,0,1,0,1,1,3146,0.023521932612841703,69930
0,0,1,721,1070,94331,32,1,1,12,0,11,0,0,0,0,1,0,3368,28.008016627078383,771470
0,0,1,4,19,70,1,1,0,12,0,13,0,0,0,0,1,1,4706,0.014874628134296642,76
0,0,0,3,2,274,1,1,0,13,0,11,0,0,0,0,0,0,4730,0.057928118393234675,6
1,0,1,56,0,5167,0,1,0,6,0,4,0,0,0,0,1,1,5039,1.0254018654494939,0
0,1,1,344385,13039,48877,135,1,0,9,0,14,0,0,0,0,1,1,3858,12.668999481596682,4490436015
1,0,0,111,793,20279,11,1,0,13,0,13,0,0,0,0,0,0,4873,4.161502154730146,88023
0,0,1,1573,1105,9108,30,1,0,12,0,13,0,0,0,0,1,1,4949,1.840371792281269,1738165
0,0,0,10,15,62,0,1,0,15,0,13,0,0,0,0,0,0,4860,0.012757201646090535,150
0,0,1,40135,84,84528,369,1,0,9,1,6,0,0,0,1,1,1,4806,17.588014981273407,3371340
0,0,1,40,148,127,0,1,1,11,0,11,0,0,5,0,1,1,3151,0.04030466518565535,5920
0,0,1,10218,3611,107596,184,1,0,9,0,25,1,0,0,0,1,0,4744,22.680438448566612,36897198
0,0,0,641,1118,20873,1,1,1,15,0,20,1,0,0,1,1,1,4106,5.083536288358499,716638
0,1,1,885990,4065,23541,4512,1,0,6,0,6,0,0,0,0,1,1,5008,4.700678913738019,3601549350
0,0,1,428,300,21131,19,1,0,11,0,10,0,0,0,0,1,0,4839,4.366811324653854,128400
1,0,1,355,318,69125,3,1,0,14,0,18,0,0,0,0,1,0,5040,13.715277777777779,112890
0,0,0,595,161,49243,3,1,0,8,0,1,0,1,0,0,1,1,3699,13.312516896458503,95795
0,0,0,403,0,35060,11,0,0,5,0,5,0,0,0,0,0,0,5085,6.894788593903638,0
1,0,1,5394,1205,546883,728,1,0,11,0,29,1,0,0,0,1,1,5307,103.04936875824383,6499770
0,0,1,1076,1134,24755,6,1,0,14,0,8,0,1,0,0,1,0,4922,5.02945956928078,1220184
0,0,0,35,157,101,0,1,1,11,0,11,0,0,0,0,1,1,3145,0.032114467408585055,5495
0,0,0,51,140,1981,2,1,0,5,0,5,0,0,0,0,1,0,4741,0.4178443366378401,7140
0,0,1,459,367,108564,4,1,0,11,1,12,0,0,0,0,1,0,4167,26.053275737940965,168453
0,0,1,3223,1949,103441,59,1,0,11,0,16,0,0,5,0,1,1,4946,20.914071977355437,6281627
0,0,1,312,172,20174,19,1,0,8,1,14,0,0,0,0,1,0,4796,4.206422018348624,53664
0,0,1,482,43,42204,1,0,0,15,0,17,0,0,0,0,0,1,5123,8.238141713839546,20726
0,0,1,740,342,28151,4,1,0,8,0,14,0,0,0,0,1,0,4789,5.878262685320526,253080
0,0,1,343,30,47772,7,1,0,11,0,11,0,0,0,0,0,1,5047,9.465425004953438,10290
0,0,1,10,36,116,0,1,0,14,0,13,0,0,0,0,0,0,4744,0.024451939291736932,360
